fid,pid,side,cc,opp_cc,name,position,ot_overall,ot_vs_weak,ot_vs_strong,ot_vs_medium,att_overall,matches_played,n_vs_weak,n_vs_strong,n_vs_medium,is_FW,is_MF,is_DF,is_GK,ot_x_FW,ot_x_DF,opp_gc_per_match,team_favoredness,ot_overall_weighted,ot_position_adjusted,own_team_capacity,opp_team_capacity,ot_overall_strength_adj,att_overall_strength_adj,shots_on_target_actual,y
f1359225,484012,home,CZE,RSA,Matej KOVAR,0,0.0,-1.0,-1.0,0.0,0.0,1.0777777777777777,0,0,1.0777777777777777,0,0,0,1,0,0,2.0,0.5,0.0,0.0,4.0,2.0,0.0,0.0,0,0
f1359225,486080,home,CZE,RSA,Robin HRANAC,1,0.0,-1.0,-1.0,0.0,0.0,1.0777777777777777,0,0,1.0777777777777777,0,0,1,0,0,0,2.0,0.5,0.0,0.0,4.0,2.0,0.0,0.0,0,0
f1359225,472908,home,CZE,RSA,Vladimir COUFAL,1,0.0,-1.0,-1.0,0.0,0.0,1.0777777777777777,0,0,1.0777777777777777,0,0,1,0,0,0,2.0,0.5,0.0,0.0,4.0,2.0,0.0,0.0,0,0
f1359225,441170,home,CZE,RSA,Ladislav KREJCI,1,0.928,-1.0,-1.0,0.928,0.928,1.0777777777777777,0,0,1.0777777777777777,0,0,1,0,0,0,2.0,0.5,0.464,0.371,4.0,2.0,0.928,0.928,0,0
f1359225,523097,home,CZE,RSA,Alexandr SOJKA,2,0.0,-1.0,-1.0,0.0,0.0,0.9333333333333333,0,0,0.9333333333333333,0,1,0,0,0,0,2.0,0.5,0.0,0.0,4.0,2.0,0.0,0.0,0,0
f1359225,401481,home,CZE,RSA,Patrik Schick,3,0.0,-1.0,-1.0,0.0,0.0,0.7,0,0,0.7,1,0,0,0,0,0,2.0,0.5,0.0,0.0,4.0,2.0,0.0,0.0,1,1
f1359225,395986,away,RSA,CZE,Ronwen WILLIAMS,0,0.0,-1.0,0.0,-1.0,0.0,1.0888888888888888,0,1.0888888888888888,0,0,0,0,1,0.0,0.0,2.0,-0.5,0.0,0.0,2.0,4.0,0.0,0.0,0,0
f1359225,395050,away,RSA,CZE,Aubrey MODIBA,1,1.184,-1.0,1.184,-1.0,1.184,0.8444444444444444,0,0.8444444444444444,0,0,0,1,0,0.0,1.184,2.0,-0.5,0.592,0.474,2.0,4.0,1.184,1.184,0,0
f1359225,504199,away,RSA,CZE,Mbekezeli MBOKAZI,1,0.918,-1.0,0.918,-1.0,0.918,1.0888888888888888,0,1.0888888888888888,0,0,0,1,0,0.0,0.918,2.0,-0.5,0.459,0.367,2.0,4.0,0.918,0.918,0,0
f1359225,463218,away,RSA,CZE,Khuliso MUDAU,1,0.0,-1.0,0.0,-1.0,0.0,1.0888888888888888,0,1.0888888888888888,0,0,0,1,0,0.0,0.0,2.0,-0.5,0.0,0.0,2.0,4.0,0.0,0.0,0,0
f1359225,506039,away,RSA,CZE,Ime OKON,1,0.0,-1.0,0.0,-1.0,0.0,1.0888888888888888,0,1.0888888888888888,0,0,0,1,0,0.0,0.0,2.0,-0.5,0.0,0.0,2.0,4.0,0.0,0.0,0,0
f1359225,403616,away,RSA,CZE,Teboho MOKOENA,2,0.0,-1.0,0.0,-1.0,0.0,1.0888888888888888,0,1.0888888888888888,0,0,1,0,0,0.0,0.0,2.0,-0.5,0.0,0.0,2.0,4.0,0.0,0.0,1,1
